id,created_time,message
1505909493094645_1506797766339151,2021-09-24T10:45:39+0000,黃文琦，戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506454273040167,2021-09-23T22:25:05+0000,凡乃乃戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506504179701843,2021-09-24T00:30:36+0000,"Anita Yang,戴口罩， 梅花座，進戲院，挺校友。"
1505909493094645_1506232743062320,2021-09-23T15:19:51+0000,Emerald Yeh  戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506198413065753,2021-09-23T14:18:08+0000,Celia Hsieh 戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506199339732327,2021-09-23T14:19:44+0000,Katy Yu，戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506197633065831,2021-09-23T14:16:30+0000,朱珮瑜 戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506213586397569,2021-09-23T14:42:56+0000,Yichen Huang 戴口罩，梅花座，進戲院，挺校友~帶媽媽一起去看戲❤️
1505909493094645_1506257309726530,2021-09-23T16:04:52+0000,黃文顥 ，戴口罩，梅花座，進戲院，挺校友
1505909493094645_1506273653058229,2021-09-23T16:34:37+0000,練子立 戴口罩，梅花座，進戲院，挺校友。（我現在看到她我都會想到台通xD)
